,Име на локация,lat,lng,Марка/модел стнанция,,AC/DC,Мощност
182,Novotel,42.6587486,23.3832031,ABB,ABB DC Wallbox,DC,  24 
183,Gazprom Burgas BG190,42.5289740,27.4550420,ABB,ABB Terra 54CJ,DC,  50 
184,Ores Hotel BG191,41.8247639,23.4781739,Circontrol,Circontrol Wallbox,AC,  22 
185,Ores Hotel BG192,41.8247640,23.4781740,Circontrol,Circontrol Wallbox,AC,  22 
186,Gazprom Plovdiv - Karlovsko Shose BG199,42.2067640,24.7333240,ABB,ABB Terra 54CJ,DC,  50 
187,Hotel IBIS BG203,42.6867599,23.3971389,ABB,ABB Wallbox,AC,  22 
188,Hotel IBIS BG204,42.6867600,23.3971390,ABB,ABB Wallbox,AC,  22 
189,Hotel Asteri BG197,41.8366140,23.4851400,Circontrol,Circontrol Wallbox,AC,  22 
190,Hotel Kamena BG198,41.6604500,24.7007460,Circontrol,Circontrol Wallbox,AC,  22 
191,Abritus BG193,43.5239140,26.5516790,Schneider Electric,Schneider EV link,AC,  22 
192,Razgrad BG194,43.5234510,26.5236970,Schneider Electric,Schneider EV link,AC,  22 
193,UMG вЂ“ University of Mining and Geology BG205,42.6593293,23.3531232,ABB,ABB DC Wallbox,DC,  24 
194,UMG вЂ“ University of Mining and Geology BG206,42.6593293,23.3531233,ABB,ABB DC Wallbox,DC,  24 
195,FPI Business Center BG208,42.659221,23.317228,ABB,ABB DC Wallbox,DC,  24 
196,FPI Business Center BG207,42.659221,23.317229,Circontrol,Circontrol Wallbox,AC,  22 
197,FPI Hill Tower BG209,42.6724950,23.3203730,Circontrol,Circontrol Wallbox,AC,  22 
198,Parking Gurko Burgas BG200,42.5009940,27.4757320,ABB,ABB Wallbox,AC,  22 
199,Cota 1110 BG210,42.2738330,23.5395280,ABB,ABB DC Wallbox,DC,  22 
200,ABUG BG211,42.0114439,23.0951939,Circontrol,Circontrol Wallbox,AC,  22 
201,ABUG BG212,42.0114440,23.0951940,Circontrol,Circontrol Wallbox,AC,  22 
202,Shell Kyustendil BG218,42.2850687,22.7033941,ABB,ABB Terra 54CJ,DC,  50 
203,Kitchen 59 BG213,42.6813640,23.2901100,ABB,ABB DC Wallbox,DC,  24 
204,OMV Dinkata BG214,42.2783890,24.2776670,ABB,ABB Terra 54CJ,DC,  50 
205,Gazprom Bansko BG216,41.8513501,23.480793,ABB,ABB Terra 54CJ,DC,  50 
206,Paradise Center BG219,42.6597270,23.3155480,ABB,ABB DC Wallbox,DC,  24 
207,Paradise Center BG220,42.6597271,23.3155481,ABB,ABB DC Wallbox,DC,  24 
208,Paradise Center BG221,42.6597272,23.3155482,ABB,ABB DC Wallbox,DC,  24 
209,Paradise Center BG222,42.6597273,23.3155483,ABB,ABB DC Wallbox,DC,  24 
210,Paradise Center BG223,42.6597274,23.3155484,ABB,ABB DC Wallbox,DC,  24 
211,OMV Vinogradets BG217,42.3196322,24.1301239,ABB,ABB Terra 124 CC,DC,  120 
212,Dr. Shterev medical complex BG224,42.7003519,23.2876769,Circontrol,Circontrol Wallbox,AC,  22 
213,Dr. Shterev medical complex BG225,42.7003520,23.2876770,Circontrol,Circontrol Wallbox,AC,  22 
214,Park Lane Office Center BG226,42.6599170,23.3215553,ABB,ABB Wallbox,AC,  22 
215,Park Lane Office Center BG227,42.6599171,23.3215554,ABB,ABB Wallbox,AC,  22 
216,Park Lane Office Center BG228,42.6599172,23.3215555,ABB,ABB Wallbox,AC,  22 
217,Park Lane Office Center BG229,42.6599173,23.3215556,ABB,ABB Wallbox,AC,  22 
218,Park Lane Office Center BG230,42.6599174,23.3215557,ABB,ABB Wallbox,AC,  22 
219,Park Lane Office Center BG231,42.6599175,23.3215558,ABB,ABB Wallbox,AC,  22 
220,Park Lane Office Center BG232,42.6599176,23.3215559,ABB,ABB Wallbox,AC,  22 
221,Park Lane Office Center BG233,42.6599177,23.3215560,ABB,ABB DC Wallbox,DC,  24 
222,Bulport logistics BG201000,43.1991409,27.8971609,Circontrol,Circontrol Wallbox,AC,  22 
223,Bulport logistics BG202000,43.1991410,27.8971610,Circontrol,Circontrol Wallbox,AC,  22 
224,OMV Yambol BG237,42.5304490,26.3980140,ABB,ABB Terra 124CC,DC,  120 
225,HAAS 60 BG235,42.1551109,24.7110559,ABB,ABB DC Wallbox,DC,  24 
226,HAAS 60 BG236,42.1551110,24.7110560,ABB,ABB DC Wallbox,DC,  24 
227,Paradise Center BG238,42.6597267,23.3155477,ABB,ABB DC Wallbox,DC,  24 
228,Paradise Center BG239,42.6597268,23.3155478,ABB,ABB DC Wallbox,DC,  24 
229,Paradise Center BG240,42.6597269,23.3155479,ABB,ABB DC Wallbox,DC,  24 
230,Paradise Center BG241,42.6597270,23.3155480,ABB,ABB DC Wallbox,DC,  24 
231,Paradise Center BG242,42.6597270,23.3155480,ABB,ABB DC Wallbox,DC,  24 
232,Mall Plovdiv BG248,42.1418060,24.718645,ABB,ABB Terra 54CJ,DC,  50 
233,Santa Marina BG243,42.4081010,27.6778520,ABB,ABB DC Wallbox,DC,  24 
234,Yacht Club Marina Sozopol BG234,42.4213080,27.6921440,Circontrol,Circontrol Wallbox,AC,  22 
235,OMV Kazanlak BG249,42.6161670,25.4204440,ABB,ABB Terra 54CJ,DC,  50 
236,Jaguar Land Rover BG244,42.7032176,23.4500912,ABB,ABB Terra 54CJ,DC,  50 
237,Moto-Pfohe Plovdiv Jaguar Land Rover BG245,42.1908727,24.6723910,ABB,ABB Terra 24CG,DC,  24 
238,Moto-Pfohe Varna Jaguar Land Rover BG246,43.2419286,27.8330309,ABB,ABB Terra 24CG,DC,  24 
239,Moto-Pfohe Rent a car Burgas BG247,42.5343686,27.4470996,ABB,ABB Wallbox,AC,  22 
240,IEC BG250,42.6483770,23.3958470,ABB,ABB DC Wallbox,DC,  22 
241,IEC BG251,42.6483771,23.3958471,ABB,ABB DC Wallbox,DC,  22 
242,OMV Blagoevgrad BG252,42.0063086,23.0952036,ABB,ABB Terra 54CJ,DC,  50 
243,OMV Aleksandar Malinov BG253,42.6513610,23.3798060,ABB,ABB Terra 54CJ,DC,  50 
244,Burgas BRC BG254,42.5006480,27.4618190,Circontrol,Circontrol Wallbox,AC,  22 
245,Burgas BRC BG255,42.5006481,27.4618191,Circontrol,Circontrol Wallbox,AC,  22 
246,Burgas BRC BG256,42.5006482,27.4618192,Circontrol,Circontrol Wallbox,AC,  22 
247,Burgas Zheni Pateva BG258,42.5006479,27.4618189,Circontrol,Circontrol Wallbox,AC,  22 
248,Burgas Zheni Pateva BG259,42.5006480,27.4618190,Circontrol,Circontrol Wallbox,AC,  22 
249,OMV Pleven BG261,43.4239137,24.6008041,ABB,ABB Terra 54C,DC,  50 
250,OMV Kulata Right BG267,41.3962910,23.3546520,ABB,ABB Terra 54C,DC,  50 
251,OMV Kulata Left BG268,41.3962910,23.3546520,ABB,ABB Terra 54C,DC,  50 
252,IEES BAS BG265,42.6768090,23.3658459,Circontrol,Circontrol Wallbox,AC,  22 
253,IEES BAS BG266,42.6768091,23.3658460,ABB,ABB DC Wallbox,DC,  24 
254,Polygraphia Office Center BG262,42.6880268,23.3445928,ABB,ABB Wallbox,AC,  22 
255,Polygraphia Office Center BG263,42.6880269,23.3445929,ABB,ABB DC Wallbox,DC,  24 
256,Polygraphia Office Center BG264,42.6880270,23.3445930,ABB,ABB DC Wallbox,DC,  24 
257,Boycho Branzov,42.5155816,27.4670852,ABB,ABB Terra 54C,DC,  50 
258,Hotel Serdika BG269,44.1072220,27.2392500,ABB,ABB Terra 53CJ,DC,  50 
259,The Mall Sofia - 1 BG272,42.6606300,23.3818840,ABB,ABB DC Wallbox,DC,  24 
260,The Mall Sofia - 1 BG273,42.6606300,23.3818840,ABB,ABB DC Wallbox,DC,  24 
261,The Mall Sofia - 2 BG274,42.6606301,23.3818840,ABB,ABB DC Wallbox,DC,  24 
262,The Mall Sofia - 2 BG275,42.6606302,23.3818841,ABB,ABB DC Wallbox,DC,  24 
263,The Mall Sofia - 2 BG276,42.6606303,23.3818842,Circontrol,Circontrol Wallbox,AC,  22 
264,The Mall Sofia - 2 BG277,42.6606304,23.3818843,Circontrol,Circontrol Wallbox,AC,  22 
265,OMV Botevgradsko-North BG278,42.7095280,23.4277500,ABB,ABB Terra 124 CC,DC,  120 
266,VIA Park BG279,42.1250368,24.7215438,ABB,ABB Terra 54CJ,DC,  50 
